City1,City2,Average Fare (AvgFare),Distance,Average weekly passengers (AvgWklyPsgr),market leading airline (LdAirline),market share (LdShare),Average fare (LdAvgFare),Low price airline (LowAirline),market share (LowShare),price (LowFare)
CAK,ATL,114.47,528.0,424.56,FL,70.19,111.03,FL,70.19,111.03
CAK,MCO,122.47,860.0,276.84,FL,75.1,123.09,DL,17.23,118.94
ALB,ATL,214.42,852.0,215.76,DL,78.89,223.98,CO,2.77,167.12
ALB,BWI,69.4,288.0,606.84,WN,96.97,68.86,WN,96.97,68.86
ALB,ORD,158.13,723.0,313.04,UA,39.79,161.36,WN,15.34,145.42
ALB,FLL,135.17,1204.0,199.02,WN,40.68,137.97,DL,17.09,127.69
ALB,LAS,152.85,2237.0,237.17,WN,59.94,148.59,WN,59.94,148.59
ALB,LAX,190.73,2467.0,191.95,DL,17.89,205.06,US,16.59,174.0
ALB,MCO,129.35,1073.0,550.54,WN,76.84,127.69,WN,76.84,127.69
ALB,TPA,134.17,1130.0,202.93,US,35.4,132.91,DL,26.4,124.78
ABQ,ATL,212.49,1269.0,198.8,DL,68.39,226.79,AA,11.91,200.93
ABQ,BWI,173.56,1670.0,312.39,WN,49.16,180.49,AA,14.37,161.39
ABQ,ORD,170.67,1121.0,364.78,AA,45.94,174.62,WN,33.87,163.22
ABQ,DFW,120.24,580.0,839.78,WN,71.91,117.2,WN,71.91,117.2
ABQ,DEN,168.69,349.0,308.26,UA,59.55,181.34,F9,39.95,149.41
ABQ,IAH,154.4,767.0,372.93,WN,50.48,152.03,WN,50.48,152.03
ABQ,LAS,114.24,487.0,620.86,WN,93.92,113.82,WN,93.92,113.82
ABQ,LAX,132.29,677.0,655.0,WN,89.46,130.44,WN,89.46,130.44
ABQ,MSP,181.99,981.0,187.28,NW,65.0,182.27,CO,2.37,109.14
ABQ,LGA,233.05,1825.0,344.45,AA,31.33,233.26,DL,19.5,222.08
ABQ,OAK,162.21,889.0,388.15,WN,88.63,164.27,HP,7.19,144.51
ABQ,MCO,161.74,1552.0,190.65,WN,72.29,151.81,WN,72.29,151.81
ABQ,PHX,71.57,328.0,1252.39,WN,77.65,70.99,WN,77.65,70.99
ABQ,PDX,163.63,1111.0,222.93,WN,57.24,167.46,HP,20.77,155.82
ABQ,SAN,134.42,628.0,346.3,WN,82.92,136.7,HP,13.05,119.03
ABQ,SEA,165.69,1180.0,284.34,WN,47.82,164.81,HP,25.07,159.64
ABQ,TUS,77.82,321.0,191.19,WN,86.29,73.5,WN,86.29,73.5
ABQ,IAD,227.93,1650.0,301.84,AA,46.59,213.13,AA,46.59,213.13
AMA,DFW,74.82,324.0,615.1,WN,82.04,71.51,WN,82.04,71.51
AMA,IAH,120.5,545.0,229.78,WN,58.79,119.76,CO,37.55,118.05
ATL,AUS,205.24,812.0,377.5,DL,75.72,212.59,AA,10.36,193.01
ATL,BWI,132.52,576.0,1453.91,DL,67.61,138.42,FL,26.56,118.54
ATL,BOS,156.55,946.0,1834.34,DL,75.26,163.05,FL,16.29,128.51
ATL,BUF,117.85,712.0,446.41,DL,46.06,123.55,FL,46.01,110.49
ATL,CLT,233.63,227.0,292.5,DL,69.26,234.85,US,30.02,229.85
ATL,ORD,146.06,606.0,2885.76,DL,40.28,161.88,FL,26.08,111.32
ATL,CVG,234.2,373.0,294.78,DL,94.8,236.93,US,1.14,113.83
ATL,CLE,184.9,554.0,455.65,DL,58.01,183.47,DL,58.01,183.47
ATL,CMH,195.72,446.0,379.56,DL,85.99,202.58,AA,1.68,124.71
ATL,DFW,147.5,732.0,2358.04,DL,55.36,152.8,AA,33.45,143.65
ATL,DAY,112.28,432.0,705.86,DL,61.65,117.78,FL,36.51,101.6
ATL,DEN,194.55,1199.0,1041.95,DL,52.95,200.28,F9,13.18,176.86
ATL,DTW,133.8,594.0,1141.52,DL,48.45,135.25,NW,47.64,132.35
ATL,FNT,118.93,644.0,251.41,FL,92.69,116.95,FL,92.69,116.95
ATL,FLL,132.0,581.0,1488.8,DL,69.05,135.95,FL,28.59,122.01
ATL,RSW,131.4,515.0,410.97,DL,75.16,133.36,FL,22.34,125.97
ATL,GSO,96.78,306.0,525.32,DL,75.35,105.1,FL,22.34,67.42
ATL,GPT,94.95,352.0,259.67,FL,58.26,88.61,FL,58.26,88.61
ATL,BDL,211.09,859.0,536.52,DL,81.42,223.92,CO,3.93,111.97
ATL,IAH,136.03,696.0,1453.04,DL,52.49,139.61,FL,14.38,118.58
ATL,IND,208.6,432.0,385.32,DL,82.99,221.13,CO,4.25,85.82
ATL,JAX,94.79,270.0,828.8,DL,79.46,97.25,FL,20.0,84.17
ATL,MCI,110.6,692.0,848.04,DL,72.6,111.68,FL,15.21,94.72
ATL,LAS,221.95,1747.0,743.47,DL,65.27,249.17,HP,18.28,175.02
ATL,LAX,259.76,1946.0,1376.84,DL,62.06,285.55,US,1.93,156.0
ATL,SDF,243.22,321.0,212.17,DL,95.03,246.77,US,1.38,135.33
ATL,MEM,103.47,332.0,896.08,DL,61.83,108.06,FL,18.69,89.41
ATL,MIA,129.21,595.0,1333.47,DL,54.27,136.86,AA,29.54,118.17
ATL,MKE,103.19,669.0,678.91,DL,47.69,106.11,FL,16.12,88.14
ATL,MSP,138.67,906.0,1036.08,DL,42.55,140.55,FL,11.83,125.63
ATL,BNA,209.89,214.0,220.21,DL,91.06,211.42,AX,7.79,194.47
ATL,MSY,116.41,425.0,950.0,DL,76.3,118.78,FL,21.87,107.82
ATL,PHF,98.62,508.0,370.54,FL,83.6,95.58,FL,83.6,95.58
ATL,LGA,150.38,761.0,6185.43,DL,64.65,159.12,FL,16.55,124.12
ATL,ORF,130.89,516.0,384.56,DL,89.88,132.18,US,7.99,107.5
ATL,OAK,227.23,2130.0,249.13,DL,42.93,236.56,HP,28.22,190.35
ATL,OKC,198.07,761.0,209.45,DL,79.29,202.85,AA,10.32,198.04
ATL,OMA,199.73,821.0,196.08,DL,64.41,215.05,CO,7.15,135.42
ATL,ONT,210.45,1900.0,302.28,DL,51.56,218.76,AA,11.29,191.57
ATL,MCO,137.9,403.0,1434.34,DL,60.98,147.26,FL,37.88,122.39
ATL,PNS,92.18,272.0,206.63,DL,65.75,95.28,FL,32.82,82.54
ATL,PHL,130.36,665.0,1995.43,DL,53.12,138.5,FL,13.78,114.65
ATL,PHX,236.93,1587.0,697.82,DL,50.51,255.09,HP,35.45,225.74
ATL,PIT,102.75,526.0,888.58,DL,43.03,107.84,FL,24.0,95.83
ATL,PDX,252.66,2172.0,347.6,DL,67.19,256.53,CO,2.62,148.69
ATL,PVD,203.29,903.0,245.54,DL,82.86,205.62,US,9.03,164.2
ATL,RDU,98.23,356.0,1179.78,DL,75.5,104.32,FL,22.19,76.06
ATL,RIC,195.29,481.0,372.5,DL,93.55,197.86,US,4.31,141.93
ATL,ROC,115.95,749.0,356.95,DL,45.18,119.71,FL,44.7,108.15
ATL,SMF,236.1,2092.0,285.1,DL,57.6,242.22,UA,13.34,213.91
ATL,STL,192.67,483.0,633.8,DL,49.92,195.33,AA,45.27,192.04
ATL,SLC,231.06,1589.0,460.32,DL,67.55,267.69,UA,9.53,128.0
ATL,SAT,206.36,874.0,412.17,DL,78.45,211.59,NW,1.26,148.12
ATL,SAN,250.88,1891.0,522.17,DL,67.98,255.0,US,1.31,160.01
ATL,SFO,299.31,2139.0,789.67,DL,62.75,314.31,DL,62.75,314.31
ATL,SJC,285.76,2116.0,285.65,DL,58.59,302.18,AA,14.76,250.02
ATL,SNA,292.0,1919.0,329.23,DL,63.65,304.64,HP,13.53,268.1
